,Judul,Isi
0,Pemprov DKI Tambah Lokasi Distribusi Pangan Murah untuk Cegah Antrean Membludak,"JAKARTA, KOMPAS.com - Pemerintah Provinsi (Pemprov) DKI Jakarta menambah lokasi dan jadwal pendistribusian bantuan pangan murah untuk masyarakat. Hal ini dilakukan untuk mengantisipasi membludaknya antrean penerima bantuan pangan murah, seperti pendistribusian sebelumnya. ""Sekarang ini kami melakukan penambahan titik distribusi dari 193 menjadi 289,"" ujar Kepala Dinas Ketahanan Pangan Kelautan dan Perikanan (KPKP) DKI Jakarta, Suharini Eliawati kepada wartawan di Balai Kota DKI Jakarta, Kamis (2/11/2023).Baca juga: Warga Dimintai Rp 50.000 untuk Antre Pangan Murah, Heru Budi: Kalau Pelakunya Aparat Saya Tindak! Untuk memudahkan masyarakat, kata Eliawati, Dinas KPKP juga menggandeng Pasar Jaya membuat layanan reservasi nomor antrean secara daring. Layanan tersebut kini sedang disempurnakan oleh Dinas Komunikasi, Informatika dan Statistik Provinsi DKI Jakarta agar mudah diakses masyarakat. ""Jadi nanti akan mendapatkan nomor antrean. Masyarakat bisa lihat mau ambil tanggal berapa, jam berapa di gerai mana,"" kata Eliawati. ""Platformnya yang buat Pasar Jaya, disempurnakan oleh Diskominfotik supaya masyarakat gampang (akses), pakai ponsel apapun bisa,"" sambungnya.Baca juga: Buntut Dugaan Pungli, Dinas KPKP DKI Evaluasi Pendistribusian Pangan Murah Selain itu, Dinas KPKP juga berencana menambah jadwal pendistribusian bantuan pangan murah, untuk peserta Kartu Jakarta Pintar (KJP). Eliawati mengatakan, jajarannya berkoordinasi dengan Dinas Pendidikan untuk mengatur skema pendistribusian bertahap. ""Kalau dulu kan langsung tuh, menumpuk. Sekarang kami koordinasi, misal minggu kedua SD, minggu selanjutnya SMP dan SMA. Ini salah satu upaya supaya tidak terjadi penumpukan,"" pungkasnya.Antrean panjang dan pungliPersoalan distribusi pangan murah untuk pemegang KJP sempat disorot Fraksi Partai Keadilan Sejahtera (PKS) DPRD DKI Jakarta. Anggota Fraksi PKS Suhud Alynudin mengungkap pembagian pangan yang kacau balau di lapangan. Baca juga: Di Depan Heru Budi, F-PKS Ungkap Warga Diminta Bayar Rp 50.000 untuk Antre Beli Pangan MurahWarga harus datang ke lokasi sejak pukul 03.00 WIB jika ingin mendapat nomor antrean. Warga bahkan harus membayar sejumlah uang jika ingin mendapat antrean terdepat. Dalam sidang paripurna, Suhud memutarkan bukti rekaman seorang warga yang ditawari membayar Rp 50.000 jika ingin mendapatkan antrean terdepan.Sementara itu, untuk mendapatkan nomor antrean di urutan tengah, warga harus membayar Rp 20.000.""Ini pimpinan realitas di lapangan. Saya harap Pj Gubernur segera membenahi carut-marutnya pembagian subsidi pangan bagi masyarakat,"" kata Suhud.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
1,Kebakaran TK dan SD Sumbangsih Jaksel Diduga akibat Korsleting,"JAKARTA, KOMPAS.com - Kebakaran Gedung Taman Kanak-kanak (TK) dan Sekolah Dasar (SD) Sumbangsih di Jalan Duren Bangka, Pancoran, Jakarta Selatan, Rabu (1/11/2023) malam, diduga disebabkan korsleting.""Penyebab kebakaran diduga karena korsleting,"" kata Kepala Suku Dinas Penanggulangan Kebakaran dan Penyelamatan (Gulkarmat) Jakarta Selatan Syamsul Huda saat dikonfirmasi, Kamis (2/11/2023).Baca juga: TK dan SD Sumbangsih Jaksel Kebakaran, Material Bangunan BerjatuhanSyamsul berujar, sebelum api muncul, saksi melihat lampu di salah satu ruangan tiba-tiba berkedip.""Menurut keterangan saksi 2, mulanya dia melihat lampu berkedip di salah satu ruangan. Setelah ditelusuri bersama saksi 1, ternyata instalasi listrik untuk TK dan SD Sumbangsih terbakar,"" kata Syamsul.""Tak lama kemudian, ada percikan api muncul dari ruang serbaguna. Kedua saksi sebenarnya langsung mencoba memadamkan api, tetapi api kian membesar karena objek itu adalah material yang mudah terbakar,"" lanjut dia.Syamsul belum bisa memastikan kerugian apa saja yang dialami pihak sekolah.Baca juga: Cerita Guru Berusaha Padamkan Kebakaran SD Sumbangsih Jaksel, Pakai Ember Isi Air tapi Tak BerhasilSebagai informasi, kebakaran melanda Gedung TK dan SD Sumbangsih di Jalan Duren Bangka, Pancoran, pada Rabu sekitar pukul 22.43 WIB.Pantauan Kompas.com di lokasi, si jago merah masih menyala sekitar pukul 23.00 WIB.Kobaran api membakar material bangunan yang mudah terbakar. Salah satu sudut bangunan yang terbakar hebat terletak di bagian atap.Baca juga: TK dan SD Sumbangsih Jaksel Kebakaran, Siswa-siswi Diliburkan Minggu IniKerangka atap sekolah yang disinyalir menggunakan kayu dan dilapisi seng membuat api dengan mudah merambat.Akibatnya, sekitar pukul 23.30 WIB, api nyaris melahap habis seluruh bagian atap bangunan dua lantai itu.Sementara itu, material yang terbakar seperti kayu, seng, dan asbes, berjatuhan ke lantai dasar. Material itu menimbulkan bunyi nyaring saat menyentuh lantai dasar.Setelah tiga jam lebih berjibaku dengan si jago merah, pemadam akhirnya memastikan bahwa api benar-benar padam sekitar pukul 03.00 WIB.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
2,"Beragam Cerita Kekecewaan dari Mereka yang Tak Lulus Uji Emisi, Berharap Tak Langsung Ditilang"," JAKARTA, KOMPAS.com - Kesal dan pasrah, itulah yang dirasakan pengendara saat mengikuti uji emisi kendaraan kemarin, Rabu (1/10/2023). Sebab jika kendaraan mereka ternyata tidak lulus uji emisi, polisi akan langsung menilang. Razia emisi ini mulai digelar sejak kemarin sebagai upaya memperbaiki kualitas udaraDari razia emisi yang berlangsung di lima titik di Ibu Kota, tidak sedikit kendaraan yang tidak lolos.Para pengendara kemudian bercerita mengenai pengalaman uji emisi mereka.Baca juga: Surat Berkendara Mati, Pengendara yang Kena Razia Uji Emisi Tak Ditilang DobelTetap tak lulus meski rutin servisAgus (50) menjadi salah satu pengendara sepeda motor tidak lolos dalam razia emisi yang berlangsung di Jalan Lodan Raya, Ancol, Pademangan, Jakarta Utara.Sambil menggerutu karena telat masuk kerja, Agus menumpahkan kekecewaan karena roda dua miliknya itu tidak lulus uji emisi.  Padahal, Agus mengaku bahwa motornya selalu rutin menjalani servis setiap bulannya. ""Wah saya enggak tahu (kenapa enggak lulus uji emisi), saya juga bingung. Rutin, cuma oli memang belum diganti,"" ujar Agus. Terlepas hal tersebut, Agus justru bingung dengan motor milik pengendara lain yang lulus uji emisi.Baca juga: Kok Bisa Kendaraan Tak Berasap tapi Tak Lulus Uji Emisi?  Kata Agus, justru kendaraan tersebut sudah jelas-jelas mengebul dan mengeluarkan polutan. ""Makanya saya bingung, itu saja yang motornya ngebul lulus,"" ungkap Agus.Berharap tak ditilangPengemudi ojek online bernama Riyadi (43) harus mengurus penilangan karena motor miliknya yang sudah berusia 13 tahun ini dinyatakan tidak lulus uji emisi.Riyadi sebenarnya berharap polisi tidak langsung menilang kendaraan yang tak lulus melainkan memberi teguran terlebih dahulu. Pengendara yang tak lulus, menurut dia, seharusnya diminta untuk servis motor.""Ya kecewa saja, dari pagi ketemu pagi saya belum tidur sama sekali. Seharusnya sekadar uji emisi dan disarankan untuk servis, kalau sekali (tak lulus uji emisi) itu,"" ujar Riyadi saat ditemui di CNI Puri Elok Kembangan Selatan, Kembangan, Jakarta Barat.Baca juga: Girangnya Pemilik Kendaraan yang Lolos Uji Emisi, Turut Bantu Perbaiki Kualitas Udara Jakarta "
3,"TK dan SD Sumbangsih Jaksel Kebakaran, Siswa-siswi Diliburkan Minggu Ini","JAKARTA, KOMPAS.com - Yayasan Perguruan Sumbangsih memutuskan untuk meniadakan kegiatan belajar mengajar (KBM) di TK dan SD Sumbangsih, Pancoran, Jakarta Selatan, imbas gedung sekolah kebakaran.Ketua Yayasan Perguruan Sumbangsih, Paramita, mengatakan bahwa seluruh siswa dan siswi akan diliburkan selama beberapa hari ke depan sampai ada pemberitahuan lebih lanjut.""Paling enggak (diliburkan) seminggu ini, tapi kami akan mengadakan rapat dulu nantinya perihal sampai kapan waktu libur siswa-siswi TK dan SD Sumbangsih,"" kata dia saat ditemui di lokasi kebakaran, Kamis (2/11/2023) dini hari.Baca juga: TK dan SD Sumbangsih Jaksel Kebakaran, Material Bangunan BerjatuhanParamita juga tak menutup kemungkinan bahwa KBM akan dilaksanakan secara daring.Terlebih, atap gedung sekolah yang dilahap si jago merah nyaris terbakar 100 persen. Hal ini bisa membahayakan siswa-siswi TK dan SD Sumbangsih jika tetap berkegiatan di sekolah.""Makanya kami mau bicarakan besok, bisa online atau tidak KBM-nya. Jadi paling enggak pada Kamis, Jumat, dan Sabtu ini libur. Minggu depan baru bisa kami kasih plan gimana-gimananya,"" tutur dia.Baca juga: TK dan SD Sumbangsih di Jaksel Terbakar, Guru: Api Berasal dari Tumpukan Kayu KeringSebagai informasi, kebakaran melanda Gedung TK dan SD Sumbangsih di Jalan Duren Bangka, Pancoran, pada Rabu (1/11/2023) sekitar pukul 22.43 WIB.Pantauan Kompas.com di lokasi, si jago merah masih menyala sekitar pukul 23.00 WIB.Kobaran api membakar material bangunan yang mudah terbakar. Salah satu sudut bangunan yang terbakar hebat terletak di bagian atap.Baca juga: Cerita Guru Berusaha Padamkan Kebakaran SD Sumbangsih Jaksel, Pakai Ember Isi Air tapi Tak BerhasilKerangka atap sekolah yang disinyalir menggunakan kayu dan dilapisi seng membuat api dengan mudah merambat.Akibatnya, sekitar pukul 23.30 WIB, api nyaris melahap habis seluruh bagian atap bangunan dua lantai itu.Sementara itu, material yang terbakar seperti kayu, seng, dan asbes, berjatuhan ke lantai dasar. Material itu menimbulkan bunyi nyaring saat menyentuh lantai dasar.Setelah tiga jam lebih berjibaku dengan si jago merah, pemadam akhirnya memastikan bahwa api benar-benar padam sekitar pukul 03.00 WIB.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
4,"Anis Matta Cerita Jokowi Setuju Koalisi Besar, tetapi PDI-P Tiba-tiba Deklarasi Ganjar Capres","JAKARTA, KOMPAS.com - Ketua Umum Partai Gelora Anis Matta menceritakan kronologi bagaimana koalisi besar bisa gagal terbentuk di pertengahan 2023 lalu. Anis mengatakan, saat itu, PDI Perjuangan tiba-tiba mengumumkan Ganjar Pranowo sebagai capres.Dia menyebutkan ide koalisi besar yang telah disetujui oleh Presiden Joko Widodo ini gagal diwujudkan.Hal tersebut Anis sampaikan dalam program Gaspol! Kompas.com, seperti disiarkan di akun YouTube Kompas.com, Kamis (2/11/2023).Baca juga: Soal Koalisi Besar Prabowo, Nasdem: Kadang yang Obesitas Banyak PenyakitnyaMulanya, Anis mengaku mengusulkan kepada Jokowi agar merangkul Ketua Umum Partai Gerindra Prabowo Subianto di tahun 2019 silam.Dia menilai, legacy Jokowi ketika sudah tidak menjabat Presiden lagi bukan infrastruktur, melainkan konsolidasi elite politik.""Saya waktu itu usulkan ke Pak Jokowi supaya rangkul Pak Prabowo, 'legacy Bapak yang paling besar itu nanti bukan infrastruktur, tapi konsolidasi elite'. Jadi, legacy Pak Jokowi saya bilang, 'Pak, bukan infrastruktur. Tapi legacy-nya adalah rekonsiliasi politik, itu konsolidasi elite'. Nah ini terjadi,"" ujar Anis.Anis menjelaskan, ketika Prabowo dirangkul masuk ke dalam kabinet pada 2019 lalu, itu adalah peristiwa yang luar biasa.Pasalnya, baik Prabowo dan Jokowi sama-sama menghadapi perbedaan pemikiran para pengikutnya.Baca juga: Kilas Balik Imbauan Jokowi Bentuk Koalisi Besar, Kini 4 Parpol Koalisi Pemerintah Dukung Prabowo""Pak Prabowo tentu kalau tengok balik ke pengikutnya pasti dia pikir, 'saya dituduh pengkhianat ini'. Pak Jokowi juga kalau dia tengok ke pengikutnya dia juga pikir, 'terus ngapain kita bertengkar selama ini, capek-capek kan. Habis itu gabung lagi',"" tuturnya.Menurut Anis, rekonsiliasi antara Jokowi dan Prabowo membawa berkah bagi Indonesia.Sebab, di tahun 2020 awal, pandemi Covid-19 mulai masuk Indonesia. Dia tidak terbayang jika Prabowo dan Jokowi masih berseberangan di momen pandemi Covid-19.""Oposisi akan memanfaatkan Covid sebagai alat untuk menjatuhkan pemerintah, dan sangat mungkin itu terjadi,"" ucap Anis.Kemudian, Anis loncat ke bulan Februari 2023. Saat itu, dirinya bertemu dengan Jokowi. Anis mengaku mengusulkan agar rekonsiliasi ini perlu dilanjutkan ke depannya.Caranya, kata dia, adalah dengan mewariskan suatu koalisi besar di Pemilu 2024.Masalahnya, pemerintahan Jokowi sudah agak pecah saat itu, karena Nasdem telah mendeklarasikan Anies Baswedan. "
5,"Surat Berkendara Mati, Pengendara yang Kena Razia Uji Emisi Tak Ditilang Dobel","JAKARTA, KOMPAS.com - Pengendara yang kendaraannya kedapatan tak lulus uji emisi saat terjaring razia tidak ditilang dobel meski surat-surat berkendara mati atau kedaluwarsa.Sebab, razia uji emisi hanya menyasar kendaraan yang tidak lulus uji. Pengendara yang surat berkendaranya mati atau tidak lengkap hanya mendapat teguran.""Untuk saat ini, kami kegiatannya untuk uji emisi,"" kata Kepala Unit Keamanan dan Keselamatan (Kanit Kamsel) Satlantas Jakarta Timur AKP Budi Lestari di Jalan Pemuda, Pulogadung, Jakarta Timur, Rabu (1/11/2023).Baca juga: Kok Bisa Kendaraan Tak Berasap tapi Tak Lulus Uji Emisi?Dalam razia kemarin, polisi menemukan kendaraan tidak lulus uji emisi dan surat tanda nomor kendaraannya (STNK) telah kedaluwarsa.Namun, polisi hanya memberi satu surat tilang, yakni tilang karena kendaraan tak lulus uji emisi.""Tadi ada yang STNK-nya mati. Namun demikian, kami sekarang melaksanakan kegiatan (tilang) uji emisi (bagi kendaraan) yang tidak lulus,"" ujar Budi Lestari.Salah satu pengendara yang mobilnya tidak lulus uji emisi dan surat berkendaranya bermasalah adalah Syaiful (30).Syaiful mengaku hanya ditilang karena mobilnya tidak lulus uji emisi.Baca juga: Girangnya Pemilik Kendaraan yang Lolos Uji Emisi, Turut Bantu Perbaiki Kualitas Udara JakartaSementara itu, soal surat berkendara yang mati, Syaiful hanya diminta untuk memperbarui kelengkapan surat berkendaranya.""Kena tilangnya karena enggak lulus uji emisi. Disaranin ke pengadilan untuk urus. Nominal bayar dendanya maksimal Rp 500.000, nominal pastinya nanti di pengadilan. Sama disuruh servis lagi mobilnya,"" ujar Syaiful di Jalan Pemuda.Sebagai informasi, Pemprov DKI Jakarta bersama Polda Metro Jaya kembali melakukan razia uji emisi kendaraan mulai 1 November 2023.Pengendara sepeda motor dan mobil yang kedapatan melanggar aturan uji emisi gas buang, atau kendaraannya tak lulus uji emisi, akan ditilang oleh polisi.Besaran denda tilang yang diterapkan ialah Rp 250.000 untuk pengendara motor dan Rp 500.000 bagi pengemudi mobil.Baca juga: 57 Kendaraan Ditilang Saat Razia Uji Emisi di 5 Lokasi JakartaBesaran denda ini tertuang dalam Pasal 285 ayat (1) dan (2) serta Pasal 286 Undang-Undang Nomor 22 Tahun 2009 tentang Lalu Lintas dan Angkutan Jalan (LLAJ).Razia dan sanksi tilang ini kembali diberlakukan karena dianggap efektif untuk memperbaiki kualitas udara Jakarta.Dinas Lingkungan Hidup (DLH) DKI Jakarta memastikan bahwa razia uji emisi kali ini akan menyasar lebih banyak kendaraan bermotor.DLH DKI bersama Polda Metro akan melaksanakan razia uji emisi sebanyak 51 kali di sejumlah titik sampai akhir tahun nanti.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
6,"Calon Panglima Jenderal Agus Subiyanto Menunggu ""Fit and Proper Test"" ","JAKARTA, KOMPAS.com - DPR RI akan segera menggelar fit and proper test atau uji kelayakan dan kepatutan calon panglima TNI Jenderal TNI Agus Subiyanto. Agus saat ini menjabat Kepala Staf Angkatan Darat (KSAD). Ketua Komisi I DPR Meutya Hafid mengatakan, pihaknya masih menunggu penugasan dari Badan Musyawarah (Bamus) DPR terkait fit and proper test tersebut.""Komisi I menunggu penugasan Bamus DPR. Sampai sekarang belum,"" ujar Meutya saat dimintai konfirmasi, Rabu (1/11/2023).Sementara itu, anggota Komisi I DPR Fraksi Golkar Dave Laksono mengatakan, sudah ada rencana mengenai fit and proper Agus.Ia menyebutkan, uji kelayakan calon panglima TNI akan digelar pada tanggal 14 November 2023.Namun, untuk kepastiannya, tetap harus menunggu penugasan dari Bamus DPR.""Rencana per saat ini adalah fit and proper test dilaksanakan pada tanggal 14. Akan tetapi, kita tunggu Bamus mengeluarkan keputusan penugasan kepada Komisi I,"" ucap Dave, Rabu kemarin.Sebelumnya, Ketua DPR RI Puan Maharani mengumumkan bahwa Agus menjadi calon tunggal pengganti Panglima TNI Laksaman Yudo Margono.Hal ini berdasarkan isi surat presiden (Surpres) tentang calon panglima TNI yang diserahkan langsung Menteri Sekretaris Negara (Mensesneg) Pratikno.“Pimpinan DPR sudah menerima surpres dari presiden terkait dengan usulan pengganti calon panglima TNI yang diusulkan oleh presiden yang mana Laksamana TNI Yudo Margono akan memasuki masa pensiun,"" kata Puan dalam konferensi pers di Gedung Nusantara III, Senayan, Jakarta, Selasa (31/10/2023).Jokowi pilih AgusSementara itu, Presiden Joko Widodo mengungkap alasan mengusulkan nama Agus Subiyanto sebagai calon tunggal panglima TNI.Menurut Jokowi, Agus memenuhi semua kriteria yang diperlukan sebagai panglima meski baru saja dilantik menjadi KSAD pada akhir Oktober lalu.Baca juga: Ungkap Alasan Pilih Agus Subiyanto Jadi Calon Panglima, Jokowi: Memenuhi Semua Kriteria""Sudah kami sampaikan kurang lebih minggu yang lalu. Ya, pertama kan beliau juga (sebelumnya) Wakil KSAD, kemudian menjadi KSAD,"" ujar Jokowi saat memberikan keterangan pers di Ibu Kota Nusantara (IKN), Kalimantan Timur, pada Rabu (1/11/2023), dilansir dari keterangan resmi.""Jadi kalau melihat jam terbangnya di teritorial, kemudian di administratif, akademis semuanya memenuhi (kriteria) semuanya,"" kata presiden.KOMPAS.com/NIRMALA MAULANA A Dari kiri ke kanan, Menteri Pertanian Amran Sulaiman, KSAL Laksamana Muhammad Ali, Panglima TNI Laksamana Yudo Margono, KSAD Jenderal Agus Subiyanto, dan KSAU Marsekal Fadjar Prasetyo saat pembukaan Gerakan Nasional Ketahanan Pangan 2023 yang digagas TNI di Taman Pancasila, Cibitung, Kabupaten Bekasi, Rabu (1/11/2023).Diketahui, Laksamana Yudo bakal memasuki usia pensiun pada 26 November 2023. Yudo pun mengungkapkan, sosok calon penggantinya sudah ditetapkan.  "
7,Kok Bisa Kendaraan Tak Berasap tapi Tak Lulus Uji Emisi?," JAKARTA, KOMPAS.com - Lulus atau tidaknya uji emisi bukan didasarkan pada ada atau tidaknya asap pada saluran pembuangan kendaraan.Hal itu diungkapkan Kepala Seksi Pengawasan dan Pengendalian Dampak Lingkungan Sudin Lingkungan Hidup Jakarta Barat, Herry Permana, usai menggelar tilang uji emisi di kawasan CNI Puri Elok, Kembangan Selatan, Kembangan, Jakarta Barat, Rabu (1/11/2023).""Untuk kendaraan yang tidak mengeluarkan asap, sebenarnya secara kasat mata memang tidak terlihat asap, tetapi kan emisinya tetap ada,"" ujar Herry. Baca juga: Cerita Petugas Tilang Uji Emisi, Disogok Rp 500.000 oleh Pengendara Motor""Sementara, untuk kendaraan di bawah baku mutu, artinya walaupun dia tidak kelihatan asapnya, tetapi mengeluarkan emisi SO dan CO,"" lanjut dia.Adapun, penilangan dilakukan sesuai dengan aturan dalam Undang-Undang Nomor 22 tahun 2009 tentang Lalu Lintas dan Angkutan Jalan (LLAJ).Penilangan didasarkan pada lulus atau tidaknya suatu kendaraan dalam hal parameter atau ambang batas emisi gas buang kendaraan, bukan ada atau tidaknya asap.Parameter itu sendiri tercantum dalam Pergub DKI Jakarta Nomor 31 Tahun 2008 tentang Ambang Batas Emisi Gas Buang Kendaraan Bermotor.Herry melanjutkan, tilang diharapkan memberikan efek jera kepada pemilik agar baku mutu kendaraan memenuhi standar.""Kendaraan ini pun harus dikendarai dengan eco drive, enggak bisa dengan ugal-ugalan apalagi kendaraan sekarang kan sangat rentan,"" ucap dia.Baca juga: 57 Kendaraan Ditilang Saat Razia Uji Emisi di 5 Lokasi JakartaDi Jakarta Barat sendiri, kesadaran pengendara melakukan uji emisi hanya sekitar 7,4 persen. Pemerintah pun kembali menerapkan tilang uji emisi yang sebelumya sempat dihentikan.Dalam tilang uji emisi hari pertama, 72 kendaraan roda dua dan roda empat terjaring.""Dari tujuh unit kendaraan roda empat berbahan bakar solar hanya empat yang kami lakukan penindakan (tilang),"" ungkap Kanit Tujawali Satlantas Polres Metro Jakarta Barat AKP Karta.Kemudian dari 30 kendaraan roda empat berbahan bakar pertamax, satu dinyatakan tak lulus uji emisi. Selanjutnya, empat dari 35 sepeda motor tidak lulus uji emisi dan ditilang.""Untuk razia ini kami berkoordinasi dengan Dinas Lingkungan Hidup, kami lanjutkan sampai akhir November,"" papar Karta.Untuk diketahui, tilang uji emisi sebelumnya sempat diterapkan dan diberlakukan secara serentak di Jakarta, pada awal September 2023.Baca juga: Girangnya Pemilik Kendaraan yang Lolos Uji Emisi, Turut Bantu Perbaiki Kualitas Udara JakartaPenerapan tilang perdana itu dihentikan 11 September. Razia dan sanksi tilang ini kembali diberlakukan karena dianggap sebagai salah satu langkah efektif untuk memperbaiki kualitas udara Jakarta.""Awal November 2023, tilang uji emisi kembali dilaksanakan di beberapa lokasi,"" ujar Kepala Satgas Pengendalian Pencemaran Udara DKI Jakarta Ani Ruspitawati.Dinas Lingkungan Hidup (DLH) DKI Jakarta memastikan bahwa razia uji emisi kali ini akan menyasar lebih banyak kendaraan bermotor yang tak lulus uji emisi. Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
8,"Vonis Lebih Ringan bagi Wowon dkk, Si Pembunuh Berantai Lolos dari Hukuman Mati...","BEKASI, KOMPAS.com - Majelis hakim Pengadilan Negeri (PN) Bekasi menjatuhkan vonis lebih ringan dari tuntutan jaksa kepada komplotan pembunuh berantai Wowon Erawan.Terdakwa Wowon, Solihin alias Duloh, dan Dede Solehudin lolos dari hukuman mati yang diajukan jaksa penuntut umum (JPU) dalam tuntutan.Wowon dkk dijatuhi hukuman pidana penjara seumur hidup atas sederet pembunuhan yang dilakukan.Mereka diketahui telah menghabisi nyawa sembilan orang, termasuk anak-istri Wowon sendiri.""Terhadap ketiga terdakwa, masing-masing dijatuhi hukuman penjara seumur hidup,"" ujar Hakim Ketua Suparna membacakan putusan di ruang sidang 7 PN Bekasi, Rabu (1/11/2023).Baca juga: Divonis Seumur Hidup Terkait Pembunuhan Berencana, Wowon dkk Diam MematungMajelis hakim menilai ketiga terdakwa terbukti melakukan pembunuhan berencana yang diatur dalam Pasal 340 KUHP.Diam mematungWowon, Solihin, dan Dede hanya terdiam dan menunduk selama sidang vonis berlangsung. Mereka mengenakan baju koko putih dibalut rompi tahanan saat duduk di kursi terdakwa.Saat mendengar vonis penjara seumur hidup, Wowon hanya menggerakkan sedikit tangannya, pandangannya tetap lurus ke depan.Begitu juga dengan Solihin dan Dede. Keduanya mematung selama mendengarkan vonis yang dibacakan Suparna.Baca juga: Lolosnya Wowon dkk dari Hukuman Mati, Pembunuh Berantai yang Habisi 9 Nyawa di Cianjur, Garut, dan BekasiSelesai membacakan putusan, Suparna bertanya kepada tiga terdakwa yang terlihat terus menunduk selama jalannya persidangan.""Ada yang mau disampaikan ketiga terdakwa?"" tanya Suparna.""Tidak ada, Yang Mulia,"" ucap ketiga terdakwa sambil menggelengkan kepala.Pikir-pikir bandingSetelah membacakan vonis, majelis hakim menanyakan soal upaya banding kepada kuasa hukum terdakwa dan JPU.""Baik terdakwa maupun penuntut umum sama-sama berhak untuk menyatakan menerima, banding, atau pikir-pikir selama tujuh hari,"" ucap Suparna.Namun, kedua pihak belum memutuskan, apakah akan mengajukan banding atau tidak atas vonis pidana penjara seumur hidup. "
9,"Kamis Ini, Polisi Gelar Perkara Penetapan Tersangka Kasus TPPU Panji Gumilang ","JAKARTA, KOMPAS.com - Direktorat Tindak Pidana Ekonomi Khusus (Dittipideksus) Bareskrim Polri akan menggelar perkara kasus dugaan Tindak Pidana Pencucian Uang (TPPU) dan korupsi dana Bantuan Operasional Sekolah (BOS) pimpinan Ponpes Al-Zaytun, Panji Gumilang pada Kamis (2/11/2023) hari ini.Menurut Direktur Tindak Pidana Ekonomi Khusus (Dittipideksus) Bareskrim Polri Brigjen Whisnu Hermawan gelar perkara dilakukan dalam rangka menentukan tersangka dalam kasus itu.""Iya hari ini (gelar perkara),"" kata Whisnu saat dikonfirmasi, Kamis (2/11/2024).Baca juga: Polri Sarankan Persidangan Panji Gumilang Tak Digelar di IndramayuAdapun kasus dugaan TPPU, tindak pidana korupsi, tindak pidana terkait yayasan, dan penggelapan dana yang diduga dilakukan Panji sudah naik penyidikan sejak 16 Agustus 2023 lalu.Panji diduga melanggar Pasal 3 Undang-Undang Nomor 8 Tahun 2010 Tentang TPPU Juncto Undang-undang (UU) Nomor 28 Tahun 2004 tentang Perubahan atas Undang-Undang Nomor 16 Tahun 2001 tentang Yayasan Juncto Pasal 372 KUHP terkait penggelapan.Penyidik Dittipideksus Bareskrim Polri juga telah melakukan pemblokiran terhadap 147 rekening yang terkait kasus yang menjerat pimpinan Ponpes Al Zaytun itu.Adapun ratusan rekening yang diblokir adalah milik Panji hingga Yayasan Pesantren Indonesia (YPI) yang menaungi Ponpes Al Zaytun.""Telah dilakukan pemblokiran rekening sebanyak 147 rekening APG, YPI dan badan hukum lain,"" kata Whisnu saat dikonfirmasi, Rabu (20/9/2023).Selain memblokir 147 rekening, penyidik juga telah melakukan pemeriksaan puluhan saksi dan penyitaan dokumen surat terkait dengan kasus dugaan TPPU Panji GumilangWhisnu menambahkan, penyidik juga telah berkoordinasi dengan ahli yayasan, ahli pidana dan pihak Kementerian Hukum dan Hak Asasi Manusia (Kumham) terkait proses yang sedang berjalan.Baca juga: Momen Panji Gumilang Dipindahkan dari Rutan Bareskrim, Tak Diborgol dan Dijaga Polisi BersenjataDiketahui, selain diusut terkait kasus TPPU, Panji telah berstatus sebagai tersangka dan ditahan terkait dugaan penistaan agama, ujaran, kebancian, dan pemberitaan bohong pada Selasa (1/8/2023).Kasus penistaaan ini bermula dari adanya kabar di media sosial terkait kontroversi ajaran menyimpang yang diduga terjadi di Ponpes Al Zaytun.Atas perbuatannya ini, Panji dijerat Pasal 14 Ayat 1 UU Nomor 1 Tahun 1946 dan atau Pasal 45a Ayat 2 Juncto Pasal 28 Ayat 2 UU ITE dan atau Pasal 156a KUHP dengan ancaman maksimal 10 tahun penjara.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
